emotions,img
Angrily Disguisted,"[[255 255 255 ... 253 252 251]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 251 253 254]
 ...
 [ 33  31  29 ...  32  31  30]
 [ 33  31  28 ...  35  34  32]
 [ 32  30  28 ...  39  37  35]]"
Angrily Disguisted,"[[205 206 206 ... 207 208 201]
 [205 201 197 ... 202 205 204]
 [206 196 187 ... 203 207 207]
 ...
 [209 208 207 ... 206 206 209]
 [208 207 206 ... 206 205 209]
 [208 206 205 ... 207 207 209]]"
Angrily Disguisted,"[[201 201 201 ... 199 200 200]
 [171 171 171 ... 169 170 170]
 [170 170 170 ... 168 169 169]
 ...
 [139 121  96 ...  77 157 193]
 [164 161 157 ... 159 200 223]
 [236 236 236 ... 238 243 246]]"
Angrily Disguisted,"[[112 110 111 ...  84  83  80]
 [ 98 107 107 ...  86  89  90]
 [104 110 108 ...  85  89  94]
 ...
 [184 188 192 ... 186 184 182]
 [183 186 190 ... 185 186 186]
 [184 185 187 ... 185 187 188]]"
Angrily Disguisted,"[[ 0  0  2 ... 18 18 18]
 [ 0  0  2 ... 18 18 18]
 [ 0  0  2 ... 18 18 18]
 ...
 [ 0  0  2 ...  2  1  1]
 [ 1  1  3 ...  2  1  1]
 [ 1  2  3 ...  2  1  1]]"
Angrily Disguisted,"[[196 196 197 ... 133 133 133]
 [196 197 197 ... 133 133 133]
 [197 197 197 ... 133 133 133]
 ...
 [241 236 237 ... 142 131 132]
 [242 239 232 ... 133 139 134]
 [242 239 232 ... 132 139 137]]"
Angrily Disguisted,"[[162 155 118 ...  99  86 117]
 [158 143  96 ...  76  64  97]
 [164 148  97 ...  80  71 106]
 ...
 [140 139 175 ...  19  32  88]
 [149 152 180 ...  33  41  85]
 [209 204 210 ... 155 159 188]]"
Angrily Disguisted,"[[ 28  27  27 ...  48  33  31]
 [ 32  31  31 ...  45  35  34]
 [166 165 165 ... 164 159 159]
 ...
 [ 33  41  44 ...  43  36  45]
 [ 33  40  45 ...  49  42  50]
 [246 252 253 ... 243 242 249]]"
Angrily Disguisted,"[[238 235 235 ... 223 233 229]
 [238 236 236 ... 228 230 232]
 [235 236 237 ... 204 214 230]
 ...
 [235 238 237 ... 235 235 237]
 [235 239 239 ... 234 234 238]
 [235 240 241 ... 236 237 239]]"
Angrily Surprised,"[[  0   0   0 ... 254 254 255]
 [  0   0   0 ... 254 254 255]
 [  1   1   0 ... 254 252 250]
 ...
 [  0   0   0 ... 255 255 255]
 [  0   0   0 ... 255 255 255]
 [  0   0   0 ... 255 255 255]]"
Angrily Surprised,"[[221 221 221 ... 221 221 221]
 [177 177 177 ... 174 174 174]
 [170 170 170 ... 168 168 168]
 ...
 [100 168 199 ... 196 193 188]
 [ 95 168 199 ... 142 136 128]
 [167 212 231 ... 181 176 168]]"
Angrily Surprised,"[[174 174 174 ... 171 171 171]
 [173 173 173 ... 171 171 171]
 [173 173 173 ... 171 171 171]
 ...
 [242 229 217 ... 191 202 206]
 [249 251 250 ... 248 243 243]
 [253 251 249 ... 254 254 254]]"
Angrily Surprised,"[[127 134 142 ...  47  50  55]
 [134 140 149 ...  50  54  64]
 [138 146 155 ...  51  59  74]
 ...
 [ 50 149 225 ... 215 217 195]
 [160 203 240 ... 233 231 216]
 [255 252 250 ... 255 255 249]]"
